id,nome,lat,lon,tipo
CD, Centro de Distribuição, -23.4357661427861, -46.43289317148391
SPC,São Paulo Capital,-23.543480348455088, -46.61947261325273
JUN,Jundiaí,-23.201696644494138, -46.883965783763074
BAR,Barueri,-23.50776417699596, -46.905104005073596
OSA,Osasco,-23.55413324095193, -46.801214538936776
GUA,Guarulhos,-23.46879850705583, -46.517760545536994
EMB,Embu das Artes,-23.658541055369245, -46.852248343556745
ITA,Itapevi,-23.551689086996944, -46.93437321662878
SBC,São Bernardo do Campo,-23.68403162101784, -46.5728215702734
DIA,Diadema,-23.677263964973452, -46.62885464331361
MAU,Mauá,-23.69643190146231, -46.4448643208641
SUZ,Suzano,-23.50414702612196, -46.307971849038005
MOG,Mogi das Cruzes,-23.518002125719924, -46.17720654392472
SAN,Santos,-23.967304425086144, -46.38608052364565
